,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
8,1000,1000,3,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0009920270201853,2.2375599464068988e-07,2024-02-14 18:04:17,366.728556394577,656.89479637146
81,100,100,1,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0222444550213945,3.075761975919634e-07,2024-02-14 17:40:29,11.240169763565063,29.00192379951477
88,100,100,4,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.3744413349560334,1.3392688108959963e-06,2024-02-14 17:44:27,48.30277132987976,98.79568719863892
73,100,100,3,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0678097020575934,5.509227864654288e-07,2024-02-14 17:41:46,12.879941701889038,37.78358316421509
90,100,100,1,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.5101728421346314,9.228638775572644e-07,2024-02-14 17:40:45,23.793259143829346,36.94016885757446
32,100,100,3,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.6673972032612157,1.1842777264298325e-06,2024-02-14 17:42:38,36.01235055923462,66.71258306503296
34,1000,1000,5,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0001562582498844,2.2938516979496916e-07,2024-02-14 18:23:33,372.4854829311371,1211.0990159511566
71,100,100,2,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.064855870394864,5.720357840891305e-07,2024-02-14 17:40:54,20.26369023323059,43.35101366043091
31,100,100,2,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.4034737596278533,9.898647938662622e-07,2024-02-14 17:41:46,39.82931137084961,75.28728365898132
25,1000,1000,1,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0002145625680883,2.2195913708390926e-07,2024-02-14 17:52:54,236.9963834285736,289.96580362319946
36,1000,1000,4,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9991964680049339,1.8520783565621377e-07,2024-02-14 18:06:51,340.90094923973083,569.0879528522491
11,1000,1000,2,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0093570360339488,2.460788021704282e-07,2024-02-14 17:59:47,317.1050474643707,548.1314880847931
107,100,100,5,0.5,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.6872684231509871,1.2401551126603863e-06,2024-02-14 17:45:40,51.79867506027222,127.73956251144409
105,1000,1000,3,0.5,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0000047214922556,2.2829400223405588e-07,2024-02-14 17:58:26,188.90114641189575,475.5650305747986
