,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,steps_per_restart,epochs,batch_size,validation_size,optim,learning_rate,history_size,line_search_fn,tolerance_change,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
60,100,100,4,0.5,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.004221327209554436,0.0022594020082169672,2024-03-11 21:06:13,641.1366834640503,16.261213064193726
80,100,100,7,0.5,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.00019836721957335957,0.0022615857153180535,2024-03-12 01:18:43,2337.2657973766327,97.19776487350464
9,100,100,7,0.5,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.00568097694256849,0.0023036363281227984,2024-03-12 02:40:49,6051.867904186249,197.95409226417542
67,100,100,4,0.5,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.002167689970795943,0.002276357701531267,2024-03-11 21:13:19,420.9543180465698,19.74232244491577
47,100,100,3,0.5,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0011808212238968684,0.0022268111000161316,2024-03-11 20:13:25,275.1587812900543,13.338481664657593
23,100,100,2,0.5,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.003333543692557377,0.002223667955989418,2024-03-11 19:30:09,516.3294649124146,12.182435274124146
21,100,100,6,0.5,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.000942686342260438,0.0022325829948446206,2024-03-11 23:30:55,1938.0199744701385,56.49799942970276
74,100,100,5,0.5,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0026224477894879494,0.002199230990488085,2024-03-11 22:26:55,1043.236364364624,29.169945001602173
14,100,100,6,0.5,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.0007785174401557118,0.002288823399707877,2024-03-11 23:28:08,1314.567894935608,54.793837785720825
24,100,100,3,0.5,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,0.003106433507316087,0.0022426768443545835,2024-03-11 20:22:21,971.7656693458557,23.369258403778076
65,100,100,7,0.7,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.10712897766785838,0.002323494181016589,2024-03-12 01:46:57,2264.837416410446,94.90442109107971
59,100,100,1,0.7,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.012631819732424856,0.002086580997825773,2024-03-11 18:59:50,453.8028349876404,11.061593532562256
58,100,100,5,0.7,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.09315948229634993,0.002331887222432402,2024-03-11 22:35:14,1259.4700484275818,33.66663575172424
69,100,100,5,0.7,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.11094513883232168,0.0022984953219090058,2024-03-11 22:25:23,732.2490553855896,32.222980976104736
52,100,100,6,0.7,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.1048123271794132,0.0022953347257659656,2024-03-11 23:46:11,1189.2473912239075,50.1752188205719
79,100,100,7,0.7,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.10098366242842444,0.002207121970014231,2024-03-12 02:20:12,5221.279790401459,164.71331405639648
64,100,100,4,0.7,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.08313731169369065,0.002033486574682972,2024-03-11 21:21:32,657.9688193798065,16.091382026672363
83,100,100,4,0.7,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.11736691092076197,0.002361577676571554,2024-03-11 21:31:07,677.4223575592041,30.99933910369873
11,100,100,6,0.7,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.09389349157352661,0.0023190673128102714,2024-03-12 00:03:27,2262.6340849399567,60.64847755432129
44,100,100,2,0.7,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.08908674680110135,0.0021825602808497233,2024-03-11 19:47:28,937.673864364624,21.178167819976807
42,100,100,3,0.7,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.08473315005292506,0.002124812186422168,2024-03-11 20:22:51,639.0604107379913,14.840977430343628
39,100,100,2,0.7,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.10852162369893846,0.002319572265777489,2024-03-11 19:34:29,153.74985122680664,9.318554401397705
13,100,100,1,0.7,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0026522864119177033,0.00214067658001963,2024-03-11 18:56:26,62.13030648231506,7.284613132476807
49,100,100,3,0.7,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.1220438929278872,0.0022166718880945653,2024-03-11 20:21:20,269.5340087413788,13.395359516143799
50,100,100,3,0.9,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.307546954798494,0.002230939868982805,2024-03-11 20:36:14,662.1596636772156,14.79876708984375
12,100,100,1,0.9,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.08157895052659175,0.0020985583053719846,2024-03-11 19:06:54,458.51117610931396,10.989333391189575
76,100,100,4,0.9,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.3527010083783265,0.002485246263373845,2024-03-11 21:28:44,667.075804233551,16.1216037273407
17,100,100,6,0.9,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.38323887625858444,0.002800756608537328,2024-03-11 23:58:26,1162.6623051166534,48.78935742378235
71,100,100,4,0.9,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.40657965907914906,0.002552911850487567,2024-03-11 21:33:26,422.08894896507263,19.93396306037903
18,100,100,5,0.9,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.40281387375903865,0.0025887389927000504,2024-03-11 22:45:34,739.0220086574554,32.37974286079407
28,100,100,1,0.9,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.009477824992201053,0.0019750096208324963,2024-03-11 19:03:25,60.24066400527954,7.191667556762695
66,100,100,7,0.9,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.3429536526440903,0.0023270517905324647,2024-03-12 03:19:19,5604.685660839081,168.19316458702087
61,100,100,6,0.9,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.36369607840772633,0.0026693905039105333,2024-03-12 00:17:51,2186.6401329040527,58.96254110336304
40,100,100,2,0.9,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.3746093163170847,0.0025422195962971545,2024-03-11 19:42:32,537.7065675258636,12.139487981796265
37,100,100,2,0.9,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.3693028589425278,0.0024831474551378283,2024-03-11 19:39:35,161.43594646453857,9.32506537437439
57,100,100,7,0.9,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.37995396992645153,0.0025373788980471764,2024-03-12 02:19:37,2326.447829723358,97.58129549026489
63,100,100,5,0.9,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.2608774534972499,0.002157553625429806,2024-03-11 22:42:50,1099.5786249637604,28.79991340637207
38,100,100,3,0.9,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4191994755356444,0.002649153340373385,2024-03-11 20:30:43,267.6771774291992,13.212733745574951
33,100,100,1,1.0,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.007123841567342028,0.0019801590638310836,2024-03-11 19:05:53,61.83319401741028,4.682713031768799
