,dscrt,N,H,space,restarts,kappa,kappa_T,sigma,constraint,initial,epochs,batch_size,learning_rate,MC_,sig_comp,res,err,time,train_time,eval_time
59,100,1,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9894753491362909,5.740943830519958e-06,2023-12-19 14:59:23,62.97527003288269,137.72300457954407
51,1000,1,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9980856219516054,5.879089214884863e-06,2023-12-19 15:25:01,656.7232627868652,1061.8778371810913
50,10000,5,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0000777456580305,5.86577834065028e-06,2023-12-20 10:41:59,15155.570501327515,52428.27559256554
64,1000,5,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9982980469168272,6.060135269744764e-06,2023-12-19 16:16:48,1477.296541929245,3182.0821919441223
63,1000,2,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9990847831229617,6.4799491428325234e-06,2023-12-19 15:32:55,686.2224879264832,1447.9466090202332
56,10000,6,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9997383590359068,5.458524316368437e-06,2023-12-20 20:44:40,28187.282989025116,73732.42193865776
49,100,2,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9899852306107644,6.047962389210175e-06,2023-12-19 14:58:50,65.04584217071533,142.3537769317627
0,10000,6,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0000055638482666,5.85413198648062e-06,2023-12-21 00:29:48,24302.332451105118,90649.4747595787
42,100,7,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9904682968109497,5.924581237190195e-06,2023-12-19 15:27:22,365.6711769104004,1470.5303411483765
1,10000,1,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9989383938542019,5.380971776278316e-06,2023-12-19 19:49:29,6803.941056251526,10140.84754705429
3,100,6,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9904860354008604,5.925844227976456e-06,2023-12-19 15:13:34,215.41489839553833,820.5732421875
4,100,1,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9895425104912192,5.59479885603992e-06,2023-12-19 14:58:42,62.25443148612976,137.04234218597412
8,1000,2,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9984619530909182,5.244003404929132e-06,2023-12-19 15:28:36,705.4491975307465,1173.158597946167
9,1000,5,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9991792283834009,6.473458732768846e-06,2023-12-19 16:55:27,1901.0924246311188,4983.31459403038
13,10000,3,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.998986845725389,5.168928678870077e-06,2023-12-20 01:27:57,14213.777183771133,22155.512757778168
