,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
157,1000,1000,4,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1880939307241042,0.00022789467587967644,2024-03-01 14:30:02,9327.159756422043,216.8570020198822
42,1000,1000,5,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1882782080364394,0.00022821280159915694,2024-03-01 16:30:28,15428.068215847015,303.1520447731018
46,100,100,1,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.20481897932193568,0.0002854226861567209,2024-03-01 11:11:21,55.43772912025452,5.246647119522095
58,1000,1000,5,0.3,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1882526640038222,0.00022886822682910248,2024-03-01 14:14:18,7186.060163497925,329.91473841667175
171,100,100,5,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.18920386856734733,0.0002288888936211794,2024-03-01 11:44:42,1605.127540588379,41.470473289489746
68,1000,1000,1,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1951189226229262,0.00025089038374895143,2024-03-01 13:21:12,6490.01548409462,147.3082766532898
200,100,100,3,0.3,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1897207769495545,0.00023149055668758751,2024-03-01 11:23:49,728.2461535930634,16.97307324409485
124,1000,1000,1,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.16174703443448393,0.00023687702592188915,2024-03-01 13:07:57,5777.774461269379,132.8022141456604
216,1000,1000,4,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15256349748413858,0.00020788110965785445,2024-03-01 13:37:04,6024.078350782394,220.2281575202942
116,100,100,2,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15403252645380222,0.00021049459882004423,2024-03-01 11:23:28,713.3933162689209,16.0860333442688
2,100,100,4,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.154040105406735,0.00021003538522465466,2024-03-01 11:21:25,525.3261840343475,11.473129272460938
112,1000,1000,1,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.17160371710819092,0.000273434655203121,2024-03-01 11:35:20,545.9228208065033,81.97279858589172
129,100,100,2,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15635074839692517,0.00021796184144043198,2024-03-01 11:13:37,157.01313638687134,10.897583246231079
17,100,100,4,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1541968360131685,0.0002092440289567762,2024-03-01 11:18:33,337.518771648407,14.365902662277222
168,1000,1000,5,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1523015884490545,0.00020635139345804432,2024-03-01 14:15:35,7108.666301012039,319.3166878223419
145,100,100,5,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15375015340180714,0.0002095059562006585,2024-03-01 11:38:00,1234.267650604248,30.651840209960938
164,1000,1000,2,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15466667832261644,0.00021548253111154062,2024-03-01 11:59:51,1615.287381887436,102.9917562007904
57,1000,1000,5,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1525630835926786,0.00020816583214562051,2024-03-01 16:01:12,13374.517093896866,389.39153814315796
61,1000,1000,3,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15280558395549582,0.0002077147885837723,2024-03-01 12:46:19,3890.9729425907135,161.8894557952881
38,100,100,5,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15358715827363648,0.0002079977338349287,2024-03-01 11:35:35,1012.8689382076263,39.48310708999634
21,1000,1000,3,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15259029795725162,0.00020729613173864342,2024-03-01 14:11:29,8826.821008443832,189.5149631500244
142,1000,1000,2,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15248029835403826,0.00020797044851826222,2024-03-01 13:53:20,8116.322341918945,128.33677172660828
140,100,100,3,0.4,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.15383087059859082,0.00020947087393761023,2024-03-01 11:17:13,348.46183586120605,14.997874736785889
35,100,100,1,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.16253056958164852,0.00023881792192746365,2024-03-01 11:16:59,371.0504252910614,7.46084189414978
193,1000,1000,4,0.4,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1522656499855123,0.00020697934384082128,2024-03-01 14:15:34,8440.418222665787,204.31998014450073
