,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,steps_per_restart,epochs,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
0,100,100,3,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23243402733371185,0.00012286114471464932,2024-05-21 15:05:03,2693.2922999858856,76.85526704788208
53,1000,1000,3,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23168482690701156,0.00013262630220209706,2024-05-21 18:28:47,8648.88358926773,503.2794110774994
49,100,100,4,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23212340069353277,0.0001231736784034213,2024-05-21 15:06:31,2355.438186645508,148.55681085586548
3,1000,1000,3,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23267932209836317,0.00013471375526837335,2024-05-21 18:39:08,5394.142096042633,1107.164588212967
211,100,100,5,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23172323751601062,0.00011940185503211391,2024-05-21 15:59:22,3445.8737559318542,106.84259939193726
8,1000,1000,5,0.2,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23077350817334774,0.0001294491078032714,2024-05-21 20:15:04,3877.7117488384247,832.5681970119476
39,1000,1000,5,0.2,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.23173337744638353,0.0001354325032034502,2024-05-21 22:19:31,2122.0543127059937,2140.289438724518
84,1000,1000,2,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18816591846827174,0.0001271776747484988,2024-05-21 19:35:49,13264.188753128052,472.3732759952545
13,100,100,4,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18949292252619784,0.00011540223861672236,2024-05-21 15:06:49,2363.598792076111,149.16572046279907
127,100,100,2,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1897586595947566,0.00011276039193344474,2024-05-21 14:58:07,2291.063964366913,67.03010320663452
32,100,100,4,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18898321860954626,0.00011465692244381816,2024-05-21 15:03:23,2602.4277441501617,71.05923914909363
12,1000,1000,3,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18873007757252067,0.00012550261808095907,2024-05-21 18:39:13,8829.384549379349,518.3940651416779
182,1000,1000,4,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18911719190898907,0.00013019848028824317,2024-05-21 18:47:54,2403.3861632347107,1256.0013966560364
147,100,100,5,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18936907090364472,0.00011446745924873641,2024-05-21 15:49:30,1956.1548914909363,237.35975170135498
72,100,100,2,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18975115526345848,0.00011380686099525532,2024-05-21 14:57:48,2339.9843435287476,55.656259536743164
151,1000,1000,2,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18835932899165087,0.00012543345437049418,2024-05-21 17:42:57,6319.667190790176,522.4649882316589
26,1000,1000,3,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18825878289753598,0.00012462396794739715,2024-05-21 17:55:59,4004.695037841797,809.7488534450531
119,1000,1000,1,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.19468559810513963,0.00013984221241506679,2024-05-21 21:37:20,20718.21785712242,495.92134499549866
153,100,100,1,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.19594617768155256,0.00012608326056433552,2024-05-21 14:54:20,2152.404664039612,52.1244752407074
179,100,100,3,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1893494753635172,0.00011620581868510345,2024-05-21 15:22:30,3512.0332856178284,114.68471074104309
157,1000,1000,4,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18800029324415862,0.00012639712379510144,2024-05-21 18:30:18,5572.568606376648,566.7875814437866
42,1000,1000,5,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18835516385465764,0.0001273571387574458,2024-05-21 20:44:38,4426.446070194244,980.9764406681061
46,100,100,1,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.19630068284618762,0.00012707908003074946,2024-05-21 14:58:55,2365.1631178855896,60.73413157463074
58,1000,1000,5,0.3,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18783074462913069,0.0001264820889111818,2024-05-21 21:32:36,1875.0310008525848,1721.9540877342224
171,100,100,5,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18913407392398832,0.00011483435197299787,2024-05-21 15:59:35,3416.8584520816803,104.23228430747986
68,1000,1000,1,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.19526389870615735,0.00014080275072958425,2024-05-21 20:37:02,17717.682114124298,401.3802225589752
200,100,100,3,0.3,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18982641795859106,0.0001130684650000384,2024-05-21 15:05:31,2720.597920894623,76.82176899909973
