,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
159,1000,1000,4,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23172815352879644,1.892611033541201e-06,2024-02-14 17:38:22,301.6626250743866,427.05512046813965
79,1000,1000,1,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23643885273754492,2.0019619700757328e-06,2024-02-14 17:31:21,378.22358560562134,548.6456170082092
81,100,100,2,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.235314590111489,1.922816658127961e-06,2024-02-14 17:14:58,13.049508571624756,38.15854525566101
160,100,100,1,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2375570093720938,2.0254996718711646e-06,2024-02-14 17:09:42,22.888728618621826,35.267478704452515
102,1000,1000,2,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23435805027167467,1.8792202706662011e-06,2024-02-14 17:31:37,335.12748408317566,520.5116634368896
165,100,100,5,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23415285216507117,1.917420808846636e-06,2024-02-14 17:14:41,25.319802045822144,87.7410135269165
218,100,100,3,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2344539937363605,1.9210248702950903e-06,2024-02-14 17:19:51,17.060279369354248,55.62310981750488
0,100,100,3,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2343683578485062,1.949673974178327e-06,2024-02-14 17:20:18,35.52611494064331,65.65208458900452
53,1000,1000,3,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23251531557115562,1.87731719605928e-06,2024-02-14 17:35:43,367.01556849479675,537.1356887817383
49,100,100,4,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23420574439387803,1.925747777557331e-06,2024-02-14 17:12:51,18.098503351211548,57.2893807888031
3,1000,1000,3,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.2332885661277641,1.899157571920854e-06,2024-02-14 17:31:32,185.59277629852295,456.94699215888977
211,100,100,5,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.233028021124572,1.8757146896997766e-06,2024-02-14 17:15:09,43.6280791759491,98.25319075584412
8,1000,1000,5,0.2,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23174676866379537,1.8905309159857418e-06,2024-02-14 17:58:34,542.4401588439941,1051.22816157341
39,1000,1000,5,0.2,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.23302528832237487,1.8934041884371765e-06,2024-02-14 17:55:53,361.69208335876465,1037.7873508930206
84,1000,1000,2,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18895952323445875,1.8030362239382761e-06,2024-02-14 17:31:17,330.10972595214844,501.21774339675903
13,100,100,4,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1897330316671285,1.811122169123244e-06,2024-02-14 17:12:01,17.556824684143066,55.46796727180481
127,100,100,2,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.19107801876593822,1.8288351890615785e-06,2024-02-14 17:15:32,14.187652826309204,38.84950804710388
32,100,100,4,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.18998910272658692,1.8236680332681393e-06,2024-02-14 17:12:02,29.024336338043213,52.6741099357605
12,1000,1000,3,0.3,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1887277302463758,1.7868893394917644e-06,2024-02-14 17:32:26,307.6156437397003,394.49627161026
182,1000,1000,4,0.3,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1883109898109069,1.7987887157552903e-06,2024-02-14 17:37:36,186.81670713424683,466.54296684265137
