,dscrt_train,dscrt,N,H,space,nn_hidden,epochs,penalty,initial,constraint,restarts,steps_per_restart,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
28,1000,1000,2,0.5,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.12492450782153362,0.00010296613191377331,2025-01-23 08:30:31,2322.69947886467,188.47008085250854
53,1000,1000,5,0.75,log,2,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.0718209400623685,7.191565806580823e-05,2025-01-23 16:00:13,10250.8153693676,988.039338350296
60,1000,1000,3,0.75,log,2,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.07201301594685328,7.369424358678765e-05,2025-01-23 13:06:10,15230.442978143692,506.75558376312256
27,1000,1000,3,0.75,sig,0,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.07185687636562275,7.304697761866022e-05,2025-01-23 08:55:34,2135.594824075699,318.346622467041
29,1000,1000,1,0.75,sig,0,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.08186751358257446,9.223482262144442e-05,2025-01-23 12:23:28,15149.061496973038,381.2814869880676
20,1000,1000,1,0.75,log,2,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.07181976592977365,7.273120628127057e-05,2025-01-23 16:42:15,28851.85183787346,522.8015329837799
70,1000,1000,5,0.75,sig,0,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.07194208027199595,7.33154992669868e-05,2025-01-23 13:57:35,1642.057116985321,1051.0259301662445
72,1000,1000,4,0.75,sig,0,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.07163412228615346,7.314756581081875e-05,2025-01-23 10:29:40,1585.4450075626373,489.01449251174927
47,1000,1000,4,0.75,log,2,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.07193164187928923,7.28293312541506e-05,2025-01-23 13:10:09,10891.755692958832,518.3839311599731
38,1000,1000,2,0.75,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.07213204835676644,7.251531580831669e-05,2025-01-23 09:22:53,4250.1803340911865,321.6935155391693
30,1000,1000,2,0.75,log,2,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.0720437198840539,7.272269825114644e-05,2025-01-23 13:46:27,18871.676621198654,430.79617381095886
18,1000,1000,1,0.875,sig,0,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.0644134330476243,8.327355747381161e-05,2025-01-23 10:31:54,9169.44831085205,253.35538148880005
69,1000,1000,5,0.875,log,2,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05215291153620286,6.0849238057239265e-05,2025-01-23 16:05:59,10354.324304580688,987.3329665660858
15,1000,1000,2,0.875,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05239498647412523,6.0748251295873963e-05,2025-01-23 09:23:31,4259.847353935242,318.41577100753784
73,1000,1000,2,0.875,log,2,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05245830924896707,6.033734499192349e-05,2025-01-23 13:52:03,19063.22306227684,440.19881796836853
40,1000,1000,4,0.875,log,2,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05231604047276917,6.029137635476285e-05,2025-01-23 14:01:08,12463.105243682861,604.0897147655487
0,1000,1000,3,0.875,sig,0,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.0524571563197917,6.114948655570714e-05,2025-01-23 08:40:40,1690.432255744934,267.60043597221375
41,1000,1000,4,0.875,sig,0,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05259608895708689,6.1497446077094e-05,2025-01-23 11:21:01,2003.3463940620422,658.831202507019
31,1000,1000,3,0.875,log,2,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05231458555843715,6.121055585070782e-05,2025-01-23 12:59:54,14993.93192434311,481.9848930835724
33,1000,1000,5,0.875,sig,0,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.05269208671675972,6.231025949230261e-05,2025-01-23 16:49:42,2533.5346229076385,1511.7921164035797
