,dscrt_train,dscrt,N,H,space,nn_hidden,penalty,initial,constraint,restarts,steps_per_restart,epochs,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
47,1000,1000,4,0.75,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.0728529157073777,7.528393578603487e-05,2024-05-22 11:59:07,1535.8601944446564,657.1588160991669
25,1000,1000,1,1.0,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.034638480268030195,5.2905388769231884e-05,2024-05-22 18:02:25,26253.90190267563,296.19772243499756
19,1000,1000,1,1.0,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.07311680071677178,0.00011190427131818621,2024-05-22 13:18:08,10812.539324760437,147.89236640930176
11,1000,1000,5,1.0,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.038667323645443556,5.937420861345444e-05,2024-05-22 13:07:42,1286.6669399738312,1018.5935230255127
56,1000,1000,3,1.0,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.03781276364115825,5.784994109249633e-05,2024-05-22 11:34:04,2403.502781867981,360.8806667327881
20,1000,1000,2,1.0,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.04097868401958028,6.264576476351127e-05,2024-05-22 11:47:51,4522.359795331955,230.69811630249023
52,1000,1000,5,1.0,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.03434411891577398,5.249565917006083e-05,2024-05-22 15:20:48,9671.201834917068,1009.5932354927063
49,1000,1000,4,1.0,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.03451987660594341,5.27813562304114e-05,2024-05-22 13:40:30,8776.769040822983,452.4214310646057
44,1000,1000,2,1.0,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.03457542793711979,5.281114036113142e-05,2024-05-22 16:17:20,19558.072583436966,350.5749764442444
58,1000,1000,4,1.0,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.03790916900314037,5.7904000743883355e-05,2024-05-22 11:53:35,1479.0253031253815,569.0094492435455
51,1000,1000,3,1.0,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.03438317080022591,5.244203076875083e-05,2024-05-22 14:57:26,13886.99142241478,418.8466305732727
